Date,Close,High,Low,Open,Volume
2019-01-02,37.66718673706055,37.88901287019494,36.78704481309749,36.9444693411881,148158800
2019-01-03,33.91525650024414,34.75723422012453,33.86993698814538,34.342206921445,365248800
2019-01-04,35.36307144165039,35.43224447060452,34.29927134520694,34.473390406461,234428400
2019-01-07,35.28436279296875,35.499033590805276,34.800166098962414,35.46802473744808,219111200
2019-01-08,35.95698928833008,36.21220814004065,35.425089238657485,35.67314912223568,164101200
2019-01-09,36.56760025024414,36.858595734256404,35.689846005675946,36.0857875184234,180396400
2019-01-10,36.68446731567383,36.7250153790591,35.98321620169645,36.37438982207042,143122800
2019-01-11,36.32430648803711,36.660621462294706,36.13826068090229,36.465036431002055,108092800
2019-01-14,35.77809524536133,36.08101747084215,35.592049441248335,35.98083924089946,129756800
2019-01-15,36.51036071777344,36.58668543964346,35.79002727502903,35.842502113611935,114843600
2019-01-16,36.95638656616211,37.180596538089034,36.49365596699989,36.51273805392303,122278800
2019-01-17,37.17583084106445,37.605168764223066,36.55567565877573,36.77988566528837,119284800
2019-01-18,37.40480422973633,37.65763549686684,37.20444414902576,37.56699649939148,135004000
2019-01-22,36.56522750854492,37.383351840220506,36.40303152459061,37.307027101535304,121576000
2019-01-23,36.713096618652344,37.00409209177719,36.183580504575076,36.767955347001276,92522400
2019-01-24,36.4221076965332,36.846674222629616,36.19312987817438,36.758422734255575,101766000
2019-01-25,37.62902069091797,37.71727581628737,36.80851261930045,37.08519383855514,134142000
2019-01-28,37.28078079223633,37.287936121047366,36.65108638010935,37.15913292337564,104768400
2019-01-29,36.894371032714844,37.7172701564587,36.75841615979378,37.268850186364794,166348800
2019-01-30,39.4155387878418,39.630205924517746,38.218164063991175,38.93849747119621,244439200
2019-01-31,39.699371337890625,40.3099835237351,39.25095142161422,39.620659098999404,162958400
2019-02-01,39.71846389770508,40.30522272121144,39.57773393313214,39.82341357723608,130672400
2019-02-04,40.8466682434082,40.944462599990764,39.8997408110696,39.93074966548283,125982000
2019-02-05,41.5455207824707,41.760191529038174,41.109031240808925,41.230675449522025,144406400
2019-02-06,41.559844970703125,41.877077914727295,41.22830136807492,41.65763568434292,112958400
2019-02-07,40.772727966308594,41.48829004745957,40.62961409426362,41.12096614099471,126966800
2019-02-08,40.82063293457031,40.88051884510569,40.343939770856174,40.48048140134687,95280000
