"Index","Date","Data"
0,2019-01-03,-5.228439133081968
1,2019-01-04,1.9940595895748892
2,2019-01-07,-0.17333455174014586
3,2019-01-08,0.8658706601642585
4,2019-01-09,0.765233916930504
5,2019-01-10,0.09341130856382672
6,2019-01-11,-0.5493116944635208
7,2019-01-14,-0.8094580531016397
8,2019-01-15,0.9336341003326586
9,2019-01-16,0.5340427716243588
10,2019-01-17,0.22777004073079868
11,2019-01-18,0.23859655555495146
12,2019-01-22,-1.1811060193214662
13,2019-01-23,0.13500571342788972
14,2019-01-24,-0.45535750896460947
15,2019-01-25,1.5410273704937685
16,2019-01-28,-0.521319636689078
17,2019-01-29,-0.5765141219817305
18,2019-01-30,3.1901012180527597
19,2019-01-31,0.28953925459523877
20,2019-02-01,-0.03998588532268948
21,2019-02-04,1.3150630061043127
22,2019-02-05,0.7714030528526906
23,2019-02-06,-0.04668473245731192
24,2019-02-07,-1.0048638058545991
25,2019-02-08,-0.005852853959601354
26,2019-02-11,-0.34754420716974366
27,2019-02-12,0.35869067188257403
28,2019-02-13,-0.26858438787105504
29,2019-02-14,0.11534474758198364
30,2019-02-15,-0.17328034708086013
31,2019-02-19,0.08342787926452694
32,2019-02-20,0.2521089025324187
33,2019-02-21,-0.3419990124930133
34,2019-02-22,0.482921859811201
35,2019-02-25,0.2936291265468528
36,2019-02-26,-0.03541594180303108
37,2019-02-27,0.0885844071173401
38,2019-02-28,-0.5502135915950143
39,2019-03-01,0.45103649325370554
40,2019-03-04,0.18330100046013958
41,2019-03-05,-0.15330314204496037
42,2019-03-06,-0.34771075571647225
43,2019-03-07,-0.6367154262184909
44,2019-03-08,0.05319047040994504
45,2019-03-11,1.6127143679670182
46,2019-03-12,0.48630583624677304
47,2019-03-13,0.15353939658426996
48,2019-03-14,0.48052296439122477
49,2019-03-15,0.5725418532765307
50,2019-03-18,0.4362980176839489
51,2019-03-19,-0.45529776949156414
52,2019-03-20,0.364628379691884
53,2019-03-21,1.716688880700424
54,2019-03-22,-1.0936932239721624
55,2019-03-25,-0.6624534158642202
56,2019-03-26,-0.5748759936006028
57,2019-03-27,0.3771006053815511
58,2019-03-28,0.0015943882902182214
59,2019-03-29,0.2561361434546428
60,2019-04-01,0.2694987578603297
61,2019-04-02,0.6467331601592012
62,2019-04-03,0.27265051042761596
63,2019-04-04,0.02193953655423771
64,2019-04-05,0.2647647248168322
65,2019-04-08,0.7049033247078814
66,2019-04-09,-0.21148098504836982
67,2019-04-10,0.21191724688880975
68,2019-04-11,-0.47511158878039983
69,2019-04-12,-0.08344453389138974
70,2019-04-15,0.025363968767342548
71,2019-04-16,-0.05871180064406483
72,2019-04-17,0.88567773827077
73,2019-04-18,0.11292710205751215
74,2019-04-22,0.0978606056480172
75,2019-04-23,0.6412428029054259
76,2019-04-24,-0.1396256180902028
77,2019-04-25,-0.5124069498393421
78,2019-04-26,-0.2992130258697884
79,2019-04-29,0.010991048152406169
80,2019-04-30,-1.0207682808010428
81,2019-05-01,2.2951006584801044
82,2019-05-02,-0.3850303452992733
83,2019-05-03,0.5444904741127559
84,2019-05-06,-0.8297339326823174
85,2019-05-07,-1.4088015315138354
86,2019-05-08,-0.05395528333771578
87,2019-05-09,-0.5953714397820224
88,2019-05-10,-0.7503508652299602
89,2019-05-13,-3.0110200684624044
90,2019-05-14,0.7094710376526508
91,2019-05-15,0.5224940599814369
92,2019-05-16,-0.2807003933246836
93,2019-05-17,-0.3441375567457874
94,2019-05-20,-1.6274426213203117
95,2019-05-21,0.8710771357990755
96,2019-05-22,-1.081800832712693
97,2019-05-23,-0.9111328208864607
98,2019-05-24,-0.253068745251544
99,2019-05-28,-0.2676083043835245
100,2019-05-29,-0.2989640187724525
101,2019-05-30,0.1909793315241634
102,2019-05-31,-0.9635342809111582
103,2019-06-03,-0.5638602956566219
104,2019-06-04,1.7049842410343126
105,2019-06-05,0.7246434664867788
106,2019-06-06,0.6537860626381019
107,2019-06-07,1.229396448931797
108,2019-06-10,0.5614231883296835
109,2019-06-11,0.5030650284305273
110,2019-06-12,-0.22055939227424598
111,2019-06-13,-0.07379988779089597
112,2019-06-14,-0.4224352863671941
113,2019-06-17,0.22917144591468105
114,2019-06-18,1.0806043158209966
115,2019-06-19,-0.20772700752817144
116,2019-06-20,0.3303145069403814
117,2019-06-21,-0.2317544283086853
118,2019-06-24,-0.11319898431903459
119,2019-06-25,-0.8154842208149514
120,2019-06-26,0.9896618700295208
121,2019-06-27,-0.07844064090223307
122,2019-06-28,-0.5142302024747362
123,2019-07-01,0.8309724992044215
124,2019-07-02,0.22368466539619933
125,2019-07-03,0.3425832788714535
126,2019-07-05,-0.10701583821026464
127,2019-07-08,-1.088964803579252
128,2019-07-09,0.2356710794630466
129,2019-07-10,0.42072651428103786
130,2019-07-11,-0.4234386925110705
131,2019-07-12,0.31307370418521513
132,2019-07-15,0.39665224598327636
133,2019-07-16,-0.2342565757925815
134,2019-07-17,-0.3412427305281321
135,2019-07-18,0.4923570484614651
136,2019-07-19,-0.8039818165483213
137,2019-07-22,1.0486558622632436
138,2019-07-23,0.31965836578595064
139,2019-07-24,-0.10373052110662949
140,2019-07-25,-0.4544334623528151
141,2019-07-26,0.10724865149670884
142,2019-07-29,0.39389819421082023
143,2019-07-30,-0.2753930422660783
144,2019-07-31,0.9306192136353458
145,2019-08-01,-1.140507430639556
146,2019-08-02,-1.1163169908754969
147,2019-08-05,-2.7103161115147167
148,2019-08-06,0.8594615214372122
149,2019-08-07,0.44346312733020127
150,2019-08-08,1.0102251525882928
